county,reporting,yes_votes,yes_percent,no_votes,no_percent,reporting_time,download_timestamp
san-mateo,0.0% (0 of 338) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
santa-barbara,0.0% (0 of 115) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
santa-clara,0.0% (0 of 509) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
santa-cruz,0.0% (0 of 85) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
shasta,0.0% (0 of 98) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
sierra,0.0% (0 of 23) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
siskiyou,0.0% (0 of 54) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
solano,0.0% (0 of 187) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
sonoma,0.0% (0 of 324) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
stanislaus,0.0% (0 of 87) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
statewide,"0.0% (0 of 18,185) precincts reporting",0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
sutter,0.0% (0 of 29) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
tehama,0.0% (0 of 33) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
trinity,0.0% (0 of 25) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
tulare,0.0% (0 of 83) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
tuolumne,0.0% (0 of 41) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
ventura,0.0% (0 of 697) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
yolo,0.0% (0 of 32) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
yuba,0.0% (0 of 36) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 1:34 p.m.",2021-09-15T00:55:00+00:00
alameda,0.0% (0 of 521) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
alpine,0.0% (0 of 5) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
amador,0.0% (0 of 30) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
butte,0.0% (0 of 156) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
calaveras,0.0% (0 of 29) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
colusa,0.0% (0 of 18) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
contra-costa,0.0% (0 of 958) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
del-norte,0.0% (0 of 18) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
el-dorado,0.0% (0 of 103) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
fresno,0.0% (0 of 279) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
glenn,0.0% (0 of 34) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
humboldt,0.0% (0 of 47) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
imperial,0.0% (0 of 219) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
inyo,0.0% (0 of 20) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
kern,0.0% (0 of 727) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
