county,yes_total,yes_percent,no_total,no_percent,updated,download_timestamp
Mono,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Monterey,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Napa,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Nevada,10308,28.4,26011,71.6,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Orange,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Placer,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Plumas,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Riverside,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Sacramento,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
San Benito,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
San Bernardino,5678,38.7,8978,61.3,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
San Diego,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
San Francisco,319033,39.4,491347,60.6,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
San Joaquin,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
San Luis Obispo,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
San Mateo,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Santa Barbara,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Santa Clara,98157,21.9,349724,78.1,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Santa Cruz,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Shasta,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Sierra,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Siskiyou,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Solano,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Sonoma,30846,21.6,111874,78.4,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Stanislaus,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Statewide,452837,33.6,894927,66.4,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Sutter,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Tehama,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Trinity,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Tulare,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Tuolumne,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Ventura,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Yolo,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Yuba,0,0.0,0,0.0,"September 14, 2021, 8:05 p.m.",2021-09-15T03:15:01+00:00
Alameda,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Alpine,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Amador,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Butte,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Calaveras,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Colusa,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Contra Costa,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Del Norte,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
El Dorado,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Fresno,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Glenn,4100,68.4,1898,31.6,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Humboldt,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Imperial,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Inyo,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Kern,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Kings,11562,60.3,7621,39.7,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Lake,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Lassen,5573,81.7,1251,18.3,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Los Angeles,5573,81.7,1251,18.3,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Madera,438810,23.7,1414354,76.3,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Marin,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Mariposa,14029,15.1,78866,84.9,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
Mendocino,0,0.0,0,0.0,"September 14, 2021, 8:11 p.m.",2021-09-15T03:18:57+00:00
